interface,scenario,period,threshold,baseline_area_km2,future_area_km2,delta_area_km2
direct_hou,ssp245,near_2021_2040,0.17,98121.8803100586,96002.7236328125,-2119.1566772460938
direct_hou,ssp245,near_2021_2040,0.18,92860.80279541016,90783.45733642578,-2077.345458984375
direct_hou,ssp245,near_2021_2040,0.19,87891.34106445312,86257.05975341797,-1634.2813110351562
direct_hou,ssp245,near_2021_2040,0.2,83331.77001953125,83300.18646240234,-31.58355712890625
direct_hou,ssp585,late_2081_2100,0.08,142096.1459350586,130790.11934280396,-11306.026592254639
direct_hou,ssp585,late_2081_2100,0.09,134541.96411132812,123159.45567703247,-11382.508434295654
direct_hou,ssp585,late_2081_2100,0.1,127004.48846435547,112628.27861404419,-14376.20985031128
direct_hou,ssp585,late_2081_2100,0.11,120401.64361572266,102953.32609939575,-17448.317516326904
direct_hou,ssp585,late_2081_2100,0.12,115910.81970214844,97652.32689285278,-18258.492809295654
direct_hou,ssp585,late_2081_2100,0.13,111368.18328857422,90894.68315505981,-20473.500133514404
direct_hou,ssp585,late_2081_2100,0.14,109098.79125976562,84087.09563064575,-25011.695629119873
direct_hou,ssp585,late_2081_2100,0.15,106086.74365234375,80355.03511047363,-25731.708541870117
direct_hou,ssp585,late_2081_2100,0.16,105334.8383178711,77103.17449951172,-28231.663818359375
direct_hou,ssp585,late_2081_2100,0.17,98121.8803100586,73398.13995361328,-24723.740356445312
direct_hou,ssp585,late_2081_2100,0.18,92860.80279541016,68882.91796875,-23977.884826660156
direct_hou,ssp585,late_2081_2100,0.19,87891.34106445312,68127.05633544922,-19764.284729003906
direct_hou,ssp585,late_2081_2100,0.2,83331.77001953125,64349.09130859375,-18982.6787109375
direct_hou,ssp585,mid_2041_2060,0.08,142096.1459350586,127192.27821731567,-14903.86771774292
direct_hou,ssp585,mid_2041_2060,0.09,134541.96411132812,121901.50508499146,-12640.45902633667
direct_hou,ssp585,mid_2041_2060,0.1,127004.48846435547,114275.29466629028,-12729.193798065186
direct_hou,ssp585,mid_2041_2060,0.11,120401.64361572266,110504.3807258606,-9897.26288986206
direct_hou,ssp585,mid_2041_2060,0.12,115910.81970214844,102193.31676101685,-13717.502941131592
direct_hou,ssp585,mid_2041_2060,0.13,111368.18328857422,96851.23136901855,-14516.951919555664
direct_hou,ssp585,mid_2041_2060,0.14,109098.79125976562,94378.69065856934,-14720.100601196289
direct_hou,ssp585,mid_2041_2060,0.15,106086.74365234375,88701.94990539551,-17384.793746948242
direct_hou,ssp585,mid_2041_2060,0.16,105334.8383178711,83967.78778076172,-21367.050537109375
direct_hou,ssp585,mid_2041_2060,0.17,98121.8803100586,80211.30480957031,-17910.57550048828
direct_hou,ssp585,mid_2041_2060,0.18,92860.80279541016,76427.49993896484,-16433.302856445312
direct_hou,ssp585,mid_2041_2060,0.19,87891.34106445312,72659.6752319336,-15231.665832519531
direct_hou,ssp585,mid_2041_2060,0.2,83331.77001953125,69627.69146728516,-13704.078552246094
direct_hou,ssp585,near_2021_2040,0.08,142096.1459350586,133768.67952346802,-8327.466411590576
direct_hou,ssp585,near_2021_2040,0.09,134541.96411132812,128738.75490188599,-5803.209209442139
direct_hou,ssp585,near_2021_2040,0.1,127004.48846435547,118922.27052688599,-8082.217937469482
direct_hou,ssp585,near_2021_2040,0.11,120401.64361572266,115912.01149368286,-4489.632122039795
direct_hou,ssp585,near_2021_2040,0.12,115910.81970214844,111384.28694534302,-4526.53275680542
direct_hou,ssp585,near_2021_2040,0.13,111368.18328857422,108281.24339675903,-3086.9398918151855
direct_hou,ssp585,near_2021_2040,0.14,109098.79125976562,101773.36758422852,-7325.423675537109
direct_hou,ssp585,near_2021_2040,0.15,106086.74365234375,96022.130859375,-10064.61279296875
direct_hou,ssp585,near_2021_2040,0.16,105334.8383178711,94506.83068847656,-10828.007629394531
direct_hou,ssp585,near_2021_2040,0.17,98121.8803100586,90000.00427246094,-8121.876037597656
direct_hou,ssp585,near_2021_2040,0.18,92860.80279541016,84763.7045288086,-8097.0982666015625
direct_hou,ssp585,near_2021_2040,0.19,87891.34106445312,80991.17138671875,-6900.169677734375
direct_hou,ssp585,near_2021_2040,0.2,83331.77001953125,78736.24780273438,-4595.522216796875
