climate_model,scenario,period,C0L0,C0L1,C1L0,C1L1,climate_effect,lulc_effect,interaction,combined_effect
MIROC6,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.16332958105703946,0.1594580582890561,0.03924994282866148,-0.0033427943604979055,-0.0005287284074854542,0.03537842006067812
MIROC6,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.14383118814330523,0.14156636436756811,0.019751549914927252,-0.0015469661202883178,-0.0007178576554487948,0.01748672613919014
MIROC6,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.13440607360172271,0.12739449343290976,0.010326435373344739,-0.005904025128697601,-0.0011075550401153378,0.003314855204531786
MIROC6,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.1366382281569104,0.1301508260235396,0.012558589928532427,-0.005449636154021151,-0.0010377659793496252,0.006071187795161637
MIROC6,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.1268269785349135,0.12279247044794027,0.002747340306535534,-0.0038978649015155298,-0.00013664318545771048,-0.0012871677804377063
TaiESM1,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.16354335284789637,0.15604164576368426,0.03946371461951839,-0.004799636830771781,-0.002702070253440325,0.031962007535306286
TaiESM1,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.1598432792438464,0.15493648899235693,0.03576364101546842,-0.0033427943604979055,-0.001563995890991543,0.030856850763978955
TaiESM1,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.13772939264600742,0.13601070529900047,0.013649754417629445,-0.0015469661202883178,-0.00017172122671862966,0.011931067070622497
TaiESM1,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.15005180995112696,0.14170175801019164,0.025972171722748988,-0.005904025128697601,-0.0024460268122377116,0.01762211978181366
TaiESM1,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.15460877473405793,0.14698148609729778,0.030529136505679955,-0.005449636154021151,-0.00217765248273899,0.0229018478689198
TaiESM1,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.14640543353598195,0.14149614020304227,0.02232579530760398,-0.0038978649015155298,-0.001011428431424155,0.017416501974664295
